gloss	georgian	svan	georgian_breaks	svan_breaks
mother	deda	di	-	-
father	mama	mu	-	-
sister	da	udil	-	-
brother	dzma	dʒimil	-	-
daughter	asuli	asus	-	-
heart	guli	gwi	-	-
chest	mkʼerdi	mətʃʼed	-	-
tongue	ena	nin	-	-
mouth	pʰiri	pil	-	-
arm	xeli	qal	-	-
liver	ɣvidzli	ɣwiʒe	-	-
top.of.head	tʰxemi	tʃxum	-	-
three	sami	semi	-	-
four	otʰxi	woʃtʰxw	-	-
five	xutʰi	woxuʃd	-	-
six	ekʰvsi	usgwa	-	-
seven	ʃvidi	iʃgwid	-	-
nine	tsxra	tʃxara	-	-
ten	atʰi	jeʃd	-	-
snake	gveli	niʃgw	-	-
bear	datʼvi	dəʃdw	-	-
louse	tʼili	ʃdim	-	-
cow	pʰuri	pur	-	-
lake	tʼba	tʼob	-	-
sea	zɣva	zugwa	-	-
apple	vaʃli	wiʃgw	-	-
name	saxeli	ʒaxe	-	-
dirt	tsʼida	tsʼid	-	-
drink	sva	ʃwe	-	-
say	tʰkʰva	rekʰw	-	-
